Конфигурация,Локализация,Ориентация (ладонь),Направление пальцев,Траекторное + / Локальное -,Направление движения,Характер движения,Повтор
Т,щека,к себе,в сторону,локальный,локальный,по кругу,нет
Т,подбородок,вниз,в сторону,локальный,вперед,по прямой,нет
С,подбородок,от себя,вперед,локальный,локальный,трясется,да
Т,голова,вниз,в сторону,локальный,вперед,по прямой,да
2 согнуты,подбородок,ребром,в сторону,локальный,локальный,касается,да
П,голова,от себя,вверх,локальный,вперед,по прямой,да
Т,голова,к себе,в сторону,локальный,локальный,по кругу,нет
Е,щека,к себе,в сторону,локальный,локальный,по кругу,нет
Э,нейтральная,от себя,вперед,траекторный,вниз,по прямой,нет
В,голова,вниз,к себе,локальный,вперед,по прямой,нет
Т,щека,к себе,вверх,локальный,локальный,трясется,да
М,подбородок,вниз,в сторону,локальный,вперед,по прямой,нет
П,щека,к себе,в сторону,локальный,локальный,по кругу,нет
